Name,SamAccountName,GivenName,Surname,DisplayName,Department,OU,Group,Password,Email,Title,Enabled
Adriano Ferreira,adriano.ferreira,Adriano,Ferreira,Adriano Ferreira,Financeiro,"OU=Users,OU=Financeiro,DC=workgroup,DC=com",Users,P@ssw0rd2024!,adriano.ferreira@workgroup.com,Analista de Financeiro,TRUE
Iris Cardoso,iris.cardoso,Iris,Cardoso,Iris Cardoso,Financeiro,"OU=Users,OU=Financeiro,DC=workgroup,DC=com",Users,P@ssw0rd2024!,iris.cardoso@workgroup.com,Analista de Financeiro,TRUE
Pedro Rodrigues,pedro.rodrigues,Pedro,Rodrigues,Pedro Rodrigues,Financeiro,"OU=Users,OU=Financeiro,DC=workgroup,DC=com",Users,P@ssw0rd2024!,pedro.rodrigues@workgroup.com,Analista de Financeiro,TRUE
Debora Figueiredo,debora.figueiredo,Debora,Figueiredo,Debora Figueiredo,Financeiro,"OU=Users,OU=Financeiro,DC=workgroup,DC=com",Users,P@ssw0rd2024!,debora.figueiredo@workgroup.com,Analista de Financeiro,TRUE
Ursula Teixeira,ursula.teixeira,Ursula,Teixeira,Ursula Teixeira,Financeiro,"OU=Users,OU=Financeiro,DC=workgroup,DC=com",Users,P@ssw0rd2024!,ursula.teixeira@workgroup.com,Analista de Financeiro,TRUE
Bruno Pereira,bruno.pereira,Bruno,Pereira,Bruno Pereira,Financeiro,"OU=Users,OU=Financeiro,DC=workgroup,DC=com",Users,P@ssw0rd2024!,bruno.pereira@workgroup.com,Analista de Financeiro,TRUE
Pedro Azevedo,pedro.azevedo,Pedro,Azevedo,Pedro Azevedo,Financeiro,"OU=Users,OU=Financeiro,DC=workgroup,DC=com",Users,P@ssw0rd2024!,pedro.azevedo@workgroup.com,Analista de Financeiro,TRUE
Sandra Gomes,sandra.gomes,Sandra,Gomes,Sandra Gomes,Contabilidade,"OU=Contabilidade,DC=workgroup,DC=com",Users,P@ssw0rd2024!,sandra.gomes@workgroup.com,Analista de Contabilidade,TRUE
Pedro Freitas,pedro.freitas,Pedro,Freitas,Pedro Freitas,Contabilidade,"OU=Contabilidade,DC=workgroup,DC=com",Users,P@ssw0rd2024!,pedro.freitas@workgroup.com,Analista de Contabilidade,TRUE
Ana Nascimento,ana.nascimento,Ana,Nascimento,Ana Nascimento,Contabilidade,"OU=Contabilidade,DC=workgroup,DC=com",Users,P@ssw0rd2024!,ana.nascimento@workgroup.com,Analista de Contabilidade,TRUE
Beatriz Cardoso,beatriz.cardoso,Beatriz,Cardoso,Beatriz Cardoso,Financeiro,"OU=Users,OU=Financeiro,DC=workgroup,DC=com",Users,P@ssw0rd2024!,beatriz.cardoso@workgroup.com,Analista de Financeiro,TRUE
Olivia Campos,olivia.campos,Olivia,Campos,Olivia Campos,Financeiro,"OU=Users,OU=Financeiro,DC=workgroup,DC=com",Users,P@ssw0rd2024!,olivia.campos@workgroup.com,Analista de Financeiro,TRUE
